iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,actor_loss,critic_loss
1,ddpg_lognormal,ddpg,lognormal,3,-108.60566393620772,20.43290317403903,108.60566393620772,4.163536071777344,2.601134777069092,0.427879273891449,0.40124499797821045,4.884981308350689e-15,-103.91512772754508,103.91512772754508,8.881784197001252e-16,-478.8287353515625,4.247448444366455,0.01,5.65614539613696,0.3657222764478539
2,ddpg_lognormal,ddpg,lognormal,3,-102.91804496944316,10.047461114251051,102.91804496944316,3.107306957244873,1.82881760597229,0.4278385639190674,0.4011989235877991,8.881784197001252e-16,-103.41539403346432,103.41539403346432,8.881784197001252e-16,-377.218505859375,3.6102190017700195,0.00996,13.335200238795508,1.2439130790187933
3,ddpg_lognormal,ddpg,lognormal,3,-102.75540432164563,8.657085800148616,102.75540432164563,3.545797348022461,1.69232177734375,0.42736929655075073,0.40183958411216736,2.220446049250313e-15,-104.37472302334191,104.37472302334191,4.440892098500626e-16,-371.84637451171875,3.618662118911743,0.00992,17.485404368667375,2.16183755110528
4,ddpg_lognormal,ddpg,lognormal,3,-102.85940317588822,7.9546931426481935,102.85940317588822,2.6945691108703613,1.2795394659042358,0.4273487627506256,0.4025081992149353,8.881784197001252e-16,-103.49875483094675,103.49875483094675,1.3322676295501878e-15,-328.48858642578125,3.2360174655914307,0.00988,20.194231207172074,2.7815701826142942
5,ddpg_lognormal,ddpg,lognormal,3,-101.48716415214191,9.292107937984943,101.48716415214191,2.4671759605407715,1.886900782585144,0.42700275778770447,0.40326952934265137,4.440892098500626e-16,-108.63928023154915,108.63928023154915,2.220446049250313e-15,-345.77484130859375,3.4424617290496826,0.00984,22.390013955533504,3.2868946021522527
6,ddpg_lognormal,ddpg,lognormal,3,-101.55054193313998,7.619454435630776,101.55054193313998,2.027899742126465,1.9585850238800049,0.426708847284317,0.40373027324676514,4.440892098500626e-16,-103.53431642187735,103.53431642187735,4.440892098500626e-16,-334.8210754394531,3.3536221981048584,0.0098,23.458222166768145,3.6233390530271987
7,ddpg_lognormal,ddpg,lognormal,3,-106.09745022066377,8.152096173658325,106.09745022066377,1.882257342338562,1.6261836290359497,0.42652276158332825,0.4041614532470703,8.881784197001252e-16,-103.73509581373344,103.73509581373344,6.661338147750939e-16,-315.6189270019531,3.0029850006103516,0.00976,24.426697633450942,3.7696588897379115
8,ddpg_lognormal,ddpg,lognormal,3,-102.70257628312768,8.672976825939182,102.70257628312768,3.8009471893310547,1.5880391597747803,0.42656153440475464,0.4047222137451172,1.5543122344752192e-15,-102.88163000222067,102.88163000222067,1.7763568394002505e-15,-387.09356689453125,3.76965069770813,0.00972,24.91927451392015,3.97304253495254
9,ddpg_lognormal,ddpg,lognormal,3,-105.747072123941,10.656085796846355,105.747072123941,3.268893241882324,1.993292212486267,0.4266686737537384,0.40535101294517517,1.7763568394002505e-15,-101.7929491269033,101.7929491269033,1.1102230246251565e-15,-398.8229064941406,3.7554938793182373,0.00968,25.430647212479794,4.024743569072425
10,ddpg_lognormal,ddpg,lognormal,3,-102.19878896784745,8.824951229766974,102.19878896784745,2.631293296813965,2.211988925933838,0.42692115902900696,0.40567922592163086,2.220446049250313e-15,-103.32300658297245,103.32300658297245,8.881784197001252e-16,-370.049560546875,3.5980472564697266,0.00964,25.8345299984018,4.1839368551514955
