iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,policy_loss,value_loss,action_entropy
1,ppo_gmm,ppo,gaussian,8,-185.97111398225107,70.27835666846462,185.97111398225107,6.428948402404785,7.454745769500732,5.558095932006836,5.14385986328125,3.1086244689504383e-15,-112.01568046686938,112.01568046686938,4.440892098500626e-16,,,0.0,-0.004619279621346365,170.67798058191934,2.8310587299721583
2,ppo_gmm,ppo,gaussian,8,-182.88031582172573,62.37698240459837,182.88031582172573,7.288268566131592,8.453104019165039,5.558095932006836,5.14385986328125,2.6645352591003757e-15,-109.66744441228384,109.66744441228384,8.881784197001252e-16,,,0.0,-0.004181595497010719,157.42949231465658,2.8228137365409305
3,ppo_gmm,ppo,gaussian,8,-170.7980783449195,47.23205413590123,170.7980783449195,6.612587928771973,7.614547252655029,5.558095932006836,5.14385986328125,2.220446049250313e-15,-111.2601662042859,111.2601662042859,8.881784197001252e-16,,,0.0,-0.0044226532364042385,131.50940475009736,2.817794653631392
4,ppo_gmm,ppo,gaussian,8,-175.52646071643312,51.091032567904804,175.52646071643312,5.971384048461914,8.746012687683105,5.558095932006836,5.14385986328125,3.9968028886505635e-15,-105.33391065683534,105.33391065683534,8.881784197001252e-16,,,0.0,-0.005201785462087996,141.02851904006232,2.8084691024961925
5,ppo_gmm,ppo,gaussian,8,-153.34787684068183,50.040281920462874,153.34787684068183,7.4030442237854,7.31743860244751,5.558095932006836,5.14385986328125,2.6645352591003757e-15,-110.4028965824476,110.4028965824476,4.440892098500626e-16,,,0.0,-0.004256756241721589,107.43908087412517,2.7960245183535983
6,ppo_gmm,ppo,gaussian,8,-158.37438709925527,40.86477807028001,158.37438709925527,8.196453094482422,8.698400497436523,5.558095932006836,5.14385986328125,2.6645352591003757e-15,-103.71476751277787,103.71476751277787,8.881784197001252e-16,,,0.0,-0.0034119876571432023,108.95865830920991,2.7831144552855265
7,ppo_gmm,ppo,gaussian,8,-147.95654996484362,36.92813583673242,147.95654996484362,5.949227333068848,7.824718952178955,5.558095932006836,5.14385986328125,2.6645352591003757e-15,-102.46870058238636,102.46870058238636,8.881784197001252e-16,,,0.0,-0.00582450417624343,95.28050740559895,2.768190263992264
8,ppo_gmm,ppo,gaussian,8,-147.05714862388396,34.422153539570225,147.05714862388396,6.941699981689453,8.986257553100586,5.558095932006836,5.14385986328125,2.6645352591003757e-15,-102.1023897077883,102.1023897077883,1.1102230246251565e-15,,,0.0,-0.0032444362933303984,91.52149127778553,2.7545944580010007
9,ppo_gmm,ppo,gaussian,8,-136.57762716645732,28.114362514045915,136.57762716645732,7.404022216796875,7.9034929275512695,5.558095932006836,5.14385986328125,1.7763568394002505e-15,-102.14177703988487,102.14177703988487,8.881784197001252e-16,,,0.0,-0.002856551309204882,76.02270471482049,2.7460787984586896
10,ppo_gmm,ppo,gaussian,8,-136.85780380008148,29.591102229973206,136.85780380008148,6.638106346130371,8.125863075256348,5.558095932006836,5.14385986328125,2.6645352591003757e-15,-102.89684250737,102.89684250737,1.1102230246251565e-15,,,0.0,-0.004295851286899831,77.52547392391023,2.7358839497679757
11,ppo_gmm,ppo,gaussian,8,-123.45054301239878,26.444779834240077,123.45054301239878,6.976717948913574,6.215917587280273,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-99.86347378439535,99.86347378439535,1.1102230246251565e-15,,,0.0,-0.0045749673015615415,60.695463305427914,2.7234025427273343
12,ppo_gmm,ppo,gaussian,8,-124.98066033628037,23.789262702267813,124.98066033628037,6.966706275939941,8.704675674438477,5.558095932006836,5.14385986328125,2.6645352591003757e-15,-103.29003916422624,103.29003916422624,8.881784197001252e-16,,,0.0,-0.0033649196986862947,60.58838138126192,2.710292557165736
13,ppo_gmm,ppo,gaussian,8,-120.31120711739948,20.587382828099493,120.31120711739948,7.897023677825928,8.210379600524902,5.558095932006836,5.14385986328125,2.6645352591003757e-15,-102.05041706522634,102.05041706522634,8.881784197001252e-16,,,0.0,-0.0014842955362317817,54.52906597228277,2.6986054558129537
14,ppo_gmm,ppo,gaussian,8,-113.2351517556736,14.518896510837468,113.2351517556736,6.5205841064453125,6.5323944091796875,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-105.90606700647531,105.90606700647531,1.3322676295501878e-15,,,0.0,-0.001209058654716327,47.03904736609686,2.688727990502403
15,ppo_gmm,ppo,gaussian,8,-116.35827662718583,15.374469745553846,116.35827662718583,6.957758903503418,7.558151721954346,5.558095932006836,5.14385986328125,2.6645352591003757e-15,-104.95984026228146,104.95984026228146,8.881784197001252e-16,,,0.0,-0.002601323413684787,49.777725321905955,2.6768058708735873
16,ppo_gmm,ppo,gaussian,8,-118.45106254616627,13.293348953105522,118.45106254616627,7.028585433959961,9.400325775146484,5.558095932006836,5.14385986328125,2.220446049250313e-15,-103.40391306036932,103.40391306036932,8.881784197001252e-16,,,0.0,-0.002293323504827207,50.34481760433742,2.668012470716522
17,ppo_gmm,ppo,gaussian,8,-114.5341178266548,12.38658684409716,114.5341178266548,7.5166826248168945,9.029621124267578,5.558095932006836,5.14385986328125,1.7763568394002505e-15,-102.12579467183492,102.12579467183492,1.1102230246251565e-15,,,0.0,-0.0018178816535510123,46.59746886435009,2.6572218239307404
18,ppo_gmm,ppo,gaussian,8,-108.35469364575843,10.86525303253795,108.35469364575843,6.455441951751709,7.059033393859863,5.558095932006836,5.14385986328125,2.220446049250313e-15,-103.58538838311514,103.58538838311514,1.3322676295501878e-15,,,0.0,-0.0011616909538307006,40.360617535454885,2.6464292236736844
19,ppo_gmm,ppo,gaussian,8,-105.92264368860126,10.115190933218827,105.92264368860126,7.298177719116211,8.092370986938477,5.558095932006836,5.14385986328125,1.7763568394002505e-15,-104.03518076727345,104.03518076727345,8.881784197001252e-16,,,0.0,-0.0023956388301615205,38.19918819836208,2.6374246251015436
20,ppo_gmm,ppo,gaussian,8,-109.44195402461897,12.361661835337648,109.44195402461897,7.576244354248047,8.686576843261719,5.558095932006836,5.14385986328125,1.9984014443252818e-15,-100.4803261470025,100.4803261470025,1.1102230246251565e-15,,,0.0,-0.0016192318206386907,40.73790911265782,2.627937628399758
21,ppo_gmm,ppo,gaussian,8,-107.00801773219621,13.295605867980623,107.00801773219621,6.893424987792969,7.379142761230469,5.558095932006836,5.14385986328125,2.886579864025407e-15,-101.54912142711903,101.54912142711903,1.1102230246251565e-15,,,0.0,-0.00292166238484372,38.224774496895925,2.6204000143777755
22,ppo_gmm,ppo,gaussian,8,-106.12352657451093,10.462282321775525,106.12352657451093,6.161135673522949,7.295459270477295,5.558095932006836,5.14385986328125,1.7763568394002505e-15,-101.51989956852795,101.51989956852795,1.1102230246251565e-15,,,0.0,-0.0014242514887536388,37.166716325850714,2.6102783438705264
23,ppo_gmm,ppo,gaussian,8,-106.06663674318087,12.53505646212333,106.06663674318087,7.53286075592041,7.4835405349731445,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-103.34088707735468,103.34088707735468,1.1102230246251565e-15,,,0.0,-0.0008177351278607689,36.913137770834425,2.604207529908135
24,ppo_gmm,ppo,gaussian,8,-107.9632471503561,13.805254355954574,107.9632471503561,6.461565017700195,8.732014656066895,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-103.6843948033326,103.6843948033326,8.881784197001252e-16,,,0.0,0.00019532115852815055,38.409842037019274,2.597296184017545
25,ppo_gmm,ppo,gaussian,8,-103.74432643691436,9.92528382853625,103.74432643691436,7.4220871925354,6.1352739334106445,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-99.30340020042085,99.30340020042085,8.881784197001252e-16,,,0.0,-0.0003638540705045064,33.97996326855251,2.589985640276046
26,ppo_gmm,ppo,gaussian,8,-102.40830924515129,9.844366342331037,102.40830924515129,6.609287261962891,6.345370292663574,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-103.90397295492507,103.90397295492507,8.881784197001252e-16,,,0.0,-0.0007836192851841805,33.07842758156004,2.581931771976607
27,ppo_gmm,ppo,gaussian,8,-103.67009666809639,12.337207635176942,103.67009666809639,6.362502098083496,7.773592948913574,5.558095932006836,5.14385986328125,2.220446049250313e-15,-100.85045635807496,100.85045635807496,8.881784197001252e-16,,,0.0,0.000510402312058778,33.94469069866907,2.5694729678687596
28,ppo_gmm,ppo,gaussian,8,-101.78332386962133,8.373458252111448,101.78332386962133,6.949616432189941,6.503668785095215,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-102.89267540194504,102.89267540194504,1.1102230246251565e-15,,,0.0,-0.0010353238016943492,31.987230493908836,2.5611668881915866
29,ppo_gmm,ppo,gaussian,8,-106.47599944712994,9.821576604459784,106.47599944712994,6.645107269287109,8.284184455871582,5.558095932006836,5.14385986328125,3.1086244689504383e-15,-103.81325547140797,103.81325547140797,8.881784197001252e-16,,,0.0,-0.000365129389267947,35.58510294982365,2.5538693630979177
30,ppo_gmm,ppo,gaussian,8,-104.64864643029286,11.995039897966677,104.64864643029286,7.179328918457031,7.099180221557617,5.558095932006836,5.14385986328125,2.220446049250313e-15,-104.96779695919953,104.96779695919953,8.881784197001252e-16,,,0.0,-0.001058149572816633,33.81192693256197,2.5431046869073595
31,ppo_gmm,ppo,gaussian,8,-103.86344996898083,10.238565974243885,103.86344996898083,5.965306758880615,7.823188304901123,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-103.62239571457796,103.62239571457796,1.1102230246251565e-15,,,0.0,-0.0012584950725015784,32.76603785582951,2.533314804945673
