iteration,model,distribution,parameter_space,component,active,weight,pv_location,pv_scale,battery_location,battery_scale
0,ppo_lognormal,lognormal,log,0,True,0.125,1.715255618095398,0.75,1.6378037929534912,0.75
0,ppo_lognormal,lognormal,log,1,True,0.125,2.3067705631256104,0.75,2.0200717449188232,0.75
0,ppo_lognormal,lognormal,log,2,True,0.125,0.9638012647628784,0.75,1.2158328294754028,0.75
0,ppo_lognormal,lognormal,log,3,True,0.125,1.927608847618103,0.75,1.1167731285095215,0.75
0,ppo_lognormal,lognormal,log,4,True,0.125,2.1254825592041016,0.75,2.485328435897827,0.75
0,ppo_lognormal,lognormal,log,5,True,0.125,2.3239858150482178,0.75,1.4208325147628784,0.75
0,ppo_lognormal,lognormal,log,6,True,0.125,1.821854591369629,0.75,2.3548481464385986,0.75
0,ppo_lognormal,lognormal,log,7,True,0.125,1.85006844997406,0.75,2.5872581005096436,0.75
1,ppo_lognormal,lognormal,log,0,True,0.125,1.715255618095398,0.75,1.6378037929534912,0.75
1,ppo_lognormal,lognormal,log,1,True,0.125,2.3067705631256104,0.75,2.0200717449188232,0.75
1,ppo_lognormal,lognormal,log,2,True,0.125,0.9638012647628784,0.75,1.2158328294754028,0.75
1,ppo_lognormal,lognormal,log,3,True,0.125,1.927608847618103,0.75,1.1167731285095215,0.75
1,ppo_lognormal,lognormal,log,4,True,0.125,2.1254825592041016,0.75,2.485328435897827,0.75
1,ppo_lognormal,lognormal,log,5,True,0.125,2.3239858150482178,0.75,1.4208325147628784,0.75
1,ppo_lognormal,lognormal,log,6,True,0.125,1.821854591369629,0.75,2.3548481464385986,0.75
1,ppo_lognormal,lognormal,log,7,True,0.125,1.85006844997406,0.75,2.5872581005096436,0.75
2,ppo_lognormal,lognormal,log,0,True,0.125,1.715255618095398,0.75,1.6378037929534912,0.75
2,ppo_lognormal,lognormal,log,1,True,0.125,2.3067705631256104,0.75,2.0200717449188232,0.75
2,ppo_lognormal,lognormal,log,2,True,0.125,0.9638012647628784,0.75,1.2158328294754028,0.75
