iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,policy_loss,value_loss,action_entropy
1,ppo_lognormal,ppo,lognormal,8,-189.5606680587798,72.88587161562155,189.5606680587798,6.73585319519043,8.145255088806152,1.493767261505127,1.9219356775283813,2.6645352591003757e-15,-111.99743274834972,111.99743274834972,8.881784197001252e-16,,,0.0,-0.0042373489898939925,177.8833280290876,2.830447819970903
2,ppo_lognormal,ppo,lognormal,8,-183.11308470394084,70.79081293044115,183.11308470394084,7.33724308013916,8.606403350830078,1.493767261505127,1.9219356775283813,3.552713678800501e-15,-111.61543695492497,111.61543695492497,8.881784197001252e-16,,,0.0,-0.0038945864958112083,162.43473681949433,2.8222175864946273
3,ppo_lognormal,ppo,lognormal,8,-171.1735035648975,49.784225375409804,171.1735035648975,6.599354267120361,7.753191947937012,1.493767261505127,1.9219356775283813,2.6645352591003757e-15,-110.53019372283367,110.53019372283367,8.881784197001252e-16,,,0.0,-0.004390124657047203,133.07609163011824,2.8188667531524385
4,ppo_lognormal,ppo,lognormal,8,-176.98125517674447,54.957494191993256,176.98125517674447,6.43004035949707,9.067110061645508,1.493767261505127,1.9219356775283813,3.1086244689504383e-15,-105.17869907596281,105.17869907596281,8.881784197001252e-16,,,0.0,-0.005257462242817772,145.07329800015404,2.8095407698835646
5,ppo_lognormal,ppo,lognormal,8,-161.43935324530418,58.356975792578154,161.43935324530418,7.244617462158203,8.282791137695312,1.493767261505127,1.9219356775283813,3.1086244689504383e-15,-111.16642540832905,111.16642540832905,4.440892098500626e-16,,,0.0,-0.0044408628739239205,121.98588568823678,2.7972965722992305
6,ppo_lognormal,ppo,lognormal,8,-161.94527020295763,48.85011747299087,161.94527020295763,8.34792709350586,9.204601287841797,1.493767261505127,1.9219356775283813,2.6645352591003757e-15,-103.27394852728213,103.27394852728213,8.881784197001252e-16,,,0.0,-0.0031243998438142064,116.80054823557536,2.7843981569721583
7,ppo_lognormal,ppo,lognormal,8,-149.09710415381502,40.09812144152169,149.09710415381502,6.00667667388916,8.305907249450684,1.493767261505127,1.9219356775283813,2.4424906541753444e-15,-103.22620798384881,103.22620798384881,1.1102230246251565e-15,,,0.0,-0.006673200430148947,96.93293371654693,2.7709990541140237
8,ppo_lognormal,ppo,lognormal,8,-147.8835114108245,36.613194206534736,147.8835114108245,7.328151702880859,9.468391418457031,1.493767261505127,1.9219356775283813,2.220446049250313e-15,-102.67355661522271,102.67355661522271,1.1102230246251565e-15,,,0.0,-0.0033998307328493823,92.8661744253976,2.7575834691524506
9,ppo_lognormal,ppo,lognormal,8,-135.86792054990067,27.601601607048934,135.86792054990067,7.861106872558594,8.026908874511719,1.493767261505127,1.9219356775283813,2.220446049250313e-15,-102.86221573213786,102.86221573213786,8.881784197001252e-16,,,0.0,-0.002980248110058407,74.72912657828559,2.748720319498153
10,ppo_lognormal,ppo,lognormal,8,-138.91469759413656,36.44895138075834,138.91469759413656,6.615545272827148,8.622364044189453,1.493767261505127,1.9219356775283813,2.6645352591003757e-15,-103.61312988682096,103.61312988682096,8.881784197001252e-16,,,0.0,-0.004345729187618764,81.48229895319257,2.7377496468169347
